selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage,max_power,engine,torque,años_antig
615000,10000,Petrol,Individual,Manual,First Owner,5.0,21.21,81.8,1197,113.0,1
270000,100000,Petrol,Individual,Manual,Third Owner,7.0,15.37,73.0,1196,101.0,4
610000,35000,Petrol,Individual,Manual,First Owner,5.0,21.4,83.1,1197,115.0,2
400000,5000,Petrol,Individual,Manual,Second Owner,5.0,19.0,94.68,1194,120.0,0
866000,37800,Petrol,Individual,Manual,First Owner,5.0,17.0,121.3,1591,151.0,3
300000,48000,Petrol,Individual,Manual,First Owner,5.0,15.8,65.0,1172,96.0,10
375000,100000,Diesel,Individual,Manual,First Owner,5.0,19.09,69.01,1405,135.0,4
522000,150000,Diesel,Individual,Manual,Second Owner,5.0,22.32,126.32,1582,259.8,7
451999,69000,Diesel,Individual,Manual,First Owner,5.0,21.9,88.76,1396,219.6,7
300000,100000,Petrol,Individual,Manual,Second Owner,5.0,14.53,138.1,1798,173.0,11
475000,13000,Petrol,Individual,Manual,First Owner,5.0,21.63,67.04,998,90.0,0
780000,60000,Diesel,Individual,Manual,First Owner,5.0,24.3,88.5,1248,200.0,4
595000,40000,Petrol,Individual,Manual,First Owner,5.0,20.85,83.14,1197,115.0,3
440000,35000,Petrol,Individual,Manual,First Owner,5.0,20.51,67.04,998,90.0,3
400000,70000,Diesel,Individual,Manual,Third Owner,5.0,20.45,83.8,1461,200.0,6
1140000,50000,Diesel,Individual,Manual,First Owner,5.0,19.67,126.2,1582,259.9,4
850000,76139,Diesel,Individual,Manual,First Owner,5.0,23.0,98.96,1498,205.0,3
370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,19.3,73.9,1248,190.0,8
350000,25000,Petrol,Individual,Manual,First Owner,5.0,23.01,67.0,999,91.0,2
360000,40000,Petrol,Individual,Manual,Second Owner,5.0,23.1,67.04,998,90.0,5
105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,19.7,46.3,796,62.0,12
625000,90000,Diesel,Individual,Manual,Second Owner,7.0,20.77,88.76,1248,200.0,7
135000,80000,Petrol,Individual,Manual,Second Owner,5.0,17.92,62.1,1086,96.1,11
700000,110000,Diesel,Individual,Manual,Second Owner,7.0,20.77,88.76,1248,200.0,5
690000,1303,Petrol,Dealer,Manual,First Owner,5.0,17.8,86.7,1198,109.0,1
795000,41000,Petrol,Dealer,Automatic,First Owner,5.0,18.0,117.6,1497,145.0,3
625000,39000,Petrol,Dealer,Automatic,First Owner,5.0,14.28,138.03,1798,173.0,7
535000,40000,Diesel,Dealer,Manual,First Owner,5.0,26.21,88.5,1248,200.0,5
805000,49900,Petrol,Dealer,Manual,First Owner,5.0,16.3,147.5,1797,177.5,4
811000,11000,Petrol,Dealer,Manual,First Owner,5.0,17.0,108.5,1198,170.0,2
375000,49000,Petrol,Individual,Manual,First Owner,5.0,15.04,103.6,1598,153.0,9
550000,95000,Petrol,Individual,Manual,First Owner,5.0,16.3,147.5,1797,177.5,8
645000,11000,Petrol,Dealer,Automatic,First Owner,5.0,14.3,103.5,1598,153.0,4
599000,46100,Petrol,Dealer,Manual,First Owner,7.0,16.02,93.7,1373,130.0,6
875000,18000,Petrol,Dealer,Automatic,First Owner,5.0,15.6,116.3,1497,146.0,3
894999,9654,Petrol,Dealer,Automatic,First Owner,5.0,19.56,81.8,1197,113.0,1
175000,11000,Petrol,Dealer,Manual,First Owner,5.0,23.95,67.05,998,90.0,9
340000,24300,Petrol,Dealer,Manual,First Owner,5.0,21.21,81.8,1197,113.0,8
1025000,8000,Diesel,Dealer,Automatic,First Owner,5.0,21.5,108.5,1497,260.0,2
850000,20000,Petrol,Individual,Manual,First Owner,7.0,17.5,91.1,1373,130.0,4
300000,100000,Diesel,Individual,Manual,Second Owner,5.0,20.54,103.6,1598,250.0,9
575000,9500,Petrol,Individual,Manual,First Owner,5.0,18.16,86.8,1196,112.0,2
160000,120000,Diesel,Individual,Manual,First Owner,5.0,20.0,68.0,1399,160.0,9
515000,36600,Petrol,Individual,Manual,First Owner,5.0,20.4,81.8,1197,113.0,5
390000,50000,Petrol,Individual,Automatic,Second Owner,5.0,20.51,67.0,998,90.0,5
550000,14000,Petrol,Individual,Manual,Second Owner,5.0,18.6,81.83,1197,114.7,4
40000,40000,Petrol,Individual,Manual,Second Owner,4.0,16.1,37.0,796,59.0,21
220000,120000,Diesel,Individual,Manual,First Owner,5.0,21.1,73.9,1248,113.0,10
425000,70000,Petrol,Individual,Manual,First Owner,5.0,18.9,82.0,1197,114.0,5
480000,13000,Petrol,Individual,Manual,First Owner,5.0,19.44,75.0,999,95.0,1
400000,60000,Petrol,Individual,Manual,Second Owner,5.0,18.9,82.0,1197,114.0,6
487000,35000,Petrol,Individual,Manual,First Owner,5.0,19.1,85.8,1197,114.0,6
386000,44000,Petrol,Individual,Manual,Second Owner,5.0,19.1,82.0,1197,114.0,4
100000,120000,Petrol,Individual,Manual,Second Owner,5.0,13.0,100.0,1493,128.46711499999998,15
300000,60000,Diesel,Individual,Manual,First Owner,5.0,21.43,87.2,1364,205.0,10
100000,60000,Petrol,Individual,Manual,First Owner,5.0,18.5,53.0,796,71.0,20
450000,15000,Petrol,Individual,Manual,Second Owner,6.0,18.15,82.0,1198,115.0,4
490000,90000,Diesel,Individual,Manual,First Owner,5.0,22.95,74.0,1248,190.0,3
345000,47000,Petrol,Individual,Manual,Second Owner,5.0,17.0,118.0,1497,146.0,11
85000,90000,Petrol,Individual,Manual,First Owner,5.0,17.3,60.0,993,78.0,15
215000,120600,Petrol,Individual,Manual,Second Owner,5.0,18.9,67.1,998,90.0,10
320000,100000,Petrol,Individual,Manual,Third Owner,5.0,16.2,103.2,1599,146.11908499999998,10
459999,60000,Petrol,Individual,Manual,Second Owner,5.0,20.85,83.14,1197,115.0,4
65000,86000,Petrol,Individual,Manual,First Owner,5.0,15.3,83.0,1341,115.0,15
720000,5000,Petrol,Individual,Manual,First Owner,5.0,18.6,81.86,1197,117.0,0
800000,37000,Diesel,Individual,Manual,First Owner,5.0,28.09,88.5,1248,200.0,3
520000,14000,Petrol,Individual,Manual,First Owner,5.0,20.3,84.0,1199,114.0,1
580000,70000,Diesel,Individual,Manual,First Owner,7.0,20.77,88.76,1248,200.0,5
600000,50000,Petrol,Individual,Manual,First Owner,5.0,17.4,117.3,1497,145.0,5
290000,60000,Petrol,Individual,Manual,Second Owner,5.0,19.4,86.8,1198,109.0,6
360000,50000,CNG,Individual,Manual,First Owner,5.0,26.6,58.16,998,77.0,4
550000,50000,Petrol,Individual,Manual,First Owner,5.0,20.85,83.14,1197,115.0,3
375000,70000,Petrol,Individual,Manual,First Owner,5.0,18.5,82.85,1197,113.7,7
420000,35000,Petrol,Individual,Automatic,First Owner,5.0,20.51,67.0,998,90.0,2
550000,20000,Petrol,Individual,Manual,First Owner,5.0,21.21,81.8,1197,113.0,3
270000,20000,Petrol,Individual,Manual,First Owner,5.0,24.7,47.3,796,69.0,2
700000,7800,Petrol,Individual,Automatic,First Owner,5.0,22.0,81.8,1197,113.0,2
500000,20000,Petrol,Individual,Manual,First Owner,5.0,20.4,81.8,1197,113.0,3
320000,31377,Petrol,Individual,Manual,Second Owner,5.0,18.5,82.85,1197,113.7,7
700000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,74.02,1248,190.0,2
290000,60000,Petrol,Individual,Manual,First Owner,5.0,20.51,67.04,998,90.0,5
550000,100000,Petrol,Individual,Automatic,First Owner,5.0,14.53,138.1,1794,173.0,8
265000,60000,Petrol,Individual,Manual,First Owner,5.0,19.4,86.8,1198,109.0,8
830000,5000,Petrol,Individual,Automatic,First Owner,5.0,21.4,83.1,1197,115.0,2
160000,25000,Petrol,Individual,Manual,Second Owner,5.0,19.7,46.3,796,62.0,9
335000,30000,Petrol,Individual,Manual,First Owner,5.0,25.17,53.3,799,72.0,2
329000,80000,Petrol,Individual,Manual,Second Owner,5.0,20.63,67.0,1198,104.0,3
775000,75000,Diesel,Individual,Manual,First Owner,5.0,24.3,88.5,1248,200.0,3
524000,32000,Petrol,Individual,Manual,First Owner,5.0,20.14,81.86,1197,113.75,0
245000,40000,Petrol,Individual,Manual,First Owner,5.0,22.74,47.3,796,69.0,5
275000,93000,Petrol,Individual,Manual,Second Owner,5.0,17.0,80.0,1197,111.79581,8
520000,60000,Petrol,Individual,Manual,First Owner,5.0,17.57,88.7,1193,140.0,2
550000,37000,Petrol,Individual,Manual,First Owner,5.0,16.95,97.7,1498,134.0,6
910000,15000,Petrol,Individual,Manual,First Owner,5.0,17.0,121.36,1497,150.0,2
300000,80000,Petrol,Individual,Manual,First Owner,5.0,19.49,67.04,1198,104.0,5
350000,140000,Petrol,Individual,Manual,First Owner,5.0,20.51,67.04,998,90.0,4
300000,120000,Diesel,Individual,Manual,Second Owner,7.0,17.21,100.0,1493,240.0,7
250000,110000,Diesel,Individual,Manual,Second Owner,5.0,21.1,73.9,1248,190.0,10
1100000,37000,Diesel,Individual,Manual,First Owner,5.0,19.67,126.2,1582,259.9,3
270000,44000,Petrol,Individual,Manual,First Owner,5.0,25.17,53.3,799,72.0,4
640000,80000,Diesel,Individual,Manual,First Owner,7.0,20.77,88.76,1248,200.0,5
409999,13500,Petrol,Individual,Manual,First Owner,5.0,15.37,73.0,1196,101.0,3
165000,75000,Petrol,Individual,Manual,First Owner,5.0,17.92,62.1,1086,96.1,9
80000,120000,Petrol,Individual,Manual,Second Owner,5.0,13.2,94.0,1495,122.583125,13
550000,70000,Diesel,Individual,Manual,First Owner,5.0,23.4,74.0,1248,190.0,7
680000,15000,Petrol,Individual,Automatic,First Owner,5.0,19.0,88.76,1199,110.0,1
200000,53000,Petrol,Individual,Manual,Second Owner,5.0,20.36,78.9,1197,111.8,11
500000,120000,Diesel,Individual,Manual,Second Owner,5.0,23.4,74.0,1248,190.0,6
1000000,70000,Diesel,Individual,Manual,First Owner,7.0,24.52,88.5,1248,200.0,4
110000,120000,Petrol,Individual,Manual,Second Owner,5.0,14.2,82.9,1341,115.71847,12
320000,100000,Petrol,Individual,Manual,Second Owner,5.0,18.5,80.0,1197,111.79581,8
350000,100000,Petrol,Individual,Manual,First Owner,5.0,20.4,83.11,1197,113.0,5
170000,162500,Diesel,Individual,Manual,First Owner,5.0,19.4,70.0,1405,135.4,7
800000,39000,Diesel,Individual,Manual,First Owner,5.0,22.54,88.73,1396,219.7,3
500000,75000,Diesel,Individual,Manual,First Owner,5.0,26.8,74.0,1248,190.0,3
1300000,40000,Diesel,Individual,Manual,First Owner,8.0,17.3,121.0,1497,300.0,1
530000,92500,Diesel,Individual,Manual,First Owner,5.0,22.32,126.3,1582,259.9,7
360000,158000,Diesel,Individual,Manual,First Owner,5.0,23.4,74.0,1248,190.0,8
310000,120000,Diesel,Individual,Manual,First Owner,5.0,19.3,73.9,1248,190.0,8
725000,50000,Diesel,Individual,Manual,Second Owner,5.0,26.0,98.6,1498,200.0,5
340000,110000,Diesel,Individual,Manual,First Owner,5.0,19.3,73.9,1248,190.0,8
550000,2000,Diesel,Individual,Manual,Second Owner,5.0,25.4,73.97,1186,190.25,3
380000,70000,Diesel,Individual,Manual,First Owner,5.0,27.28,69.0,1047,140.0,4
350000,90000,Petrol,Individual,Automatic,Second Owner,5.0,17.97,99.6,1498,134.0,7
610000,2000,Petrol,Individual,Manual,First Owner,5.0,18.6,81.86,1197,117.0,1
525000,20000,Petrol,Individual,Manual,First Owner,5.0,20.85,83.14,1197,115.0,5
375000,80000,Petrol,Individual,Manual,First Owner,5.0,20.4,81.8,1197,113.0,6
300000,40000,Petrol,Individual,Manual,First Owner,5.0,19.02,67.05,1198,104.0,1
500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,22.54,88.73,1396,219.7,5
350000,120000,Diesel,Individual,Manual,First Owner,5.0,27.28,69.0,1047,140.0,3
380000,40000,Petrol,Individual,Manual,First Owner,5.0,17.57,88.7,1193,140.0,5
114999,95200,Petrol,Individual,Manual,Third Owner,5.0,13.2,94.0,1495,122.583125,12
335000,33033,Petrol,Dealer,Manual,First Owner,5.0,19.4,86.8,1198,109.0,6
465000,63063,Petrol,Dealer,Automatic,First Owner,5.0,18.9,82.0,1197,114.0,5
290000,60000,Diesel,Individual,Manual,First Owner,5.0,21.02,88.76,1248,200.0,8
110000,45000,Petrol,Individual,Manual,Second Owner,5.0,19.7,46.3,796,62.0,15
220000,35000,Petrol,Individual,Manual,First Owner,8.0,16.8,34.2,796,59.0,4
450000,35000,Petrol,Individual,Manual,First Owner,5.0,18.9,82.0,1197,114.0,3
450000,35000,Petrol,Individual,Manual,First Owner,5.0,18.9,82.0,1197,114.0,3
290000,50000,Petrol,Individual,Automatic,First Owner,5.0,16.95,78.9,1197,111.8,7
520000,20000,Petrol,Individual,Manual,First Owner,5.0,20.4,81.8,1197,113.0,4
265000,20000,Petrol,Individual,Automatic,First Owner,5.0,16.95,78.9,1197,111.8,9
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,18.6,85.8,1197,114.0,8
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,18.6,85.8,1197,114.0,8
500000,70000,Petrol,Individual,Manual,First Owner,5.0,17.1,121.3,1591,154.9,6
525000,50000,Petrol,Individual,Manual,First Owner,5.0,17.19,81.86,1197,114.73,5
675000,16500,Petrol,Individual,Manual,First Owner,5.0,21.01,81.8,1197,113.0,1
300000,70000,Petrol,Individual,Manual,First Owner,5.0,17.0,80.0,1197,111.79581,10
90000,99361,Petrol,Individual,Manual,Second Owner,5.0,19.7,46.3,796,62.0,15
650000,25000,Diesel,Individual,Manual,First Owner,5.0,26.59,74.0,1248,190.0,3
409000,70000,Petrol,Individual,Manual,Second Owner,5.0,19.1,85.8,1197,114.0,6
395000,80000,Diesel,Individual,Manual,Second Owner,5.0,24.0,70.0,1120,160.0,5
400000,70000,Petrol,Individual,Manual,Second Owner,5.0,19.1,85.8,1197,114.0,6
120000,60000,Petrol,Individual,Manual,Third Owner,5.0,18.6,79.4,1199,108.0,8
645000,10000,Petrol,Individual,Automatic,First Owner,5.0,20.3,84.0,1199,114.0,2
81000,80000,Petrol,Individual,Manual,First Owner,4.0,16.1,37.0,796,59.0,14
1300000,30000,Diesel,Individual,Manual,First Owner,5.0,25.6,97.9,1498,200.0,3
1250000,33000,Diesel,Individual,Manual,First Owner,5.0,25.6,97.9,1498,200.0,3
535000,90000,Petrol,Individual,Manual,Third Owner,7.0,16.02,93.7,1373,130.0,7
555000,80100,Diesel,Individual,Manual,Second Owner,5.0,19.01,108.5,1461,248.0,6
725000,120000,Petrol,Individual,Manual,First Owner,5.0,17.4,117.3,1497,145.0,6
229999,40000,Petrol,Individual,Manual,First Owner,5.0,25.17,53.3,799,72.0,4
409999,47000,Petrol,Individual,Manual,First Owner,5.0,20.51,67.04,998,90.0,3
1210000,25000,Diesel,Individual,Manual,First Owner,5.0,21.38,88.7,1396,219.7,2
400000,26000,Petrol,Individual,Manual,First Owner,5.0,23.84,84.0,1199,114.0,3
520000,29000,Diesel,Individual,Manual,First Owner,5.0,24.0,73.97,1186,190.24,2
650000,50000,Petrol,Individual,Automatic,First Owner,5.0,21.4,83.1,1197,115.0,4
325000,58000,Petrol,Individual,Manual,Third Owner,5.0,16.1,88.2,1298,112.77647499999999,9
420000,120000,Petrol,Individual,Automatic,First Owner,5.0,17.4,85.8,1197,114.0,8
400000,50000,Petrol,Individual,Manual,First Owner,5.0,20.4,81.8,1197,113.0,6
254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,17.0,80.0,1197,111.79581,10
65000,60000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,17.3,60.0,993,78.0,17
351000,36000,Petrol,Individual,Manual,First Owner,5.0,23.1,67.04,998,90.0,3
185000,185000,Diesel,Individual,Manual,Third Owner,5.0,21.1,73.9,1248,190.0,9
250000,50000,Diesel,Individual,Manual,First Owner,5.0,23.08,63.1,1461,160.0,9
60000,100000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,17.3,60.0,993,78.0,18
500000,50000,Petrol,Individual,Manual,Second Owner,5.0,17.1,121.3,1591,154.9,7
85000,80000,Petrol,Individual,Manual,Second Owner,5.0,18.2,67.1,998,90.0,13
85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,19.7,46.3,796,62.0,15
265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,19.3,73.9,1248,190.0,9
130000,162000,Petrol,Individual,Manual,Second Owner,5.0,19.0,66.1,998,90.0,10
480000,110000,Diesel,Individual,Manual,Third Owner,7.0,20.77,88.76,1248,200.0,7
170000,120000,Diesel,Individual,Manual,Third Owner,5.0,17.8,75.0,1248,190.0,12
275000,45000,Diesel,Individual,Manual,First Owner,5.0,23.08,63.1,1461,160.0,9
89000,90000,Petrol,Individual,Manual,Second Owner,5.0,18.9,67.1,998,90.0,15
170000,90000,Diesel,Individual,Manual,Second Owner,5.0,20.0,68.0,1399,160.0,10
1090000,16500,Petrol,Dealer,Manual,First Owner,5.0,17.0,110.0,1197,200.0,1
1100000,67000,Diesel,Individual,Automatic,First Owner,5.0,17.01,126.2,1582,259.9,3
610000,52000,Petrol,Dealer,Manual,First Owner,5.0,22.0,81.8,1197,113.0,2
335000,40000,Petrol,Dealer,Manual,First Owner,5.0,20.63,67.0,1198,104.0,4
434999,40000,Petrol,Dealer,Manual,First Owner,5.0,18.9,82.0,1197,114.0,5
390000,13000,Petrol,Dealer,Manual,First Owner,5.0,20.71,53.26,799,72.0,2
325000,40000,Petrol,Dealer,Manual,First Owner,5.0,18.5,86.8,1198,109.0,8
640000,10000,Petrol,Dealer,Manual,First Owner,5.0,17.0,73.75,1198,110.0,1
450000,9000,Petrol,Dealer,Manual,First Owner,5.0,16.95,97.7,1498,134.0,8
400000,70000,Diesel,Dealer,Manual,Second Owner,5.0,23.59,67.06,1364,170.0,7
215000,60000,Petrol,Dealer,Manual,First Owner,5.0,20.36,78.9,1197,111.8,11
570000,40000,Diesel,Dealer,Manual,First Owner,5.0,20.45,83.8,1461,200.0,6
150000,50000,Petrol,Individual,Manual,Second Owner,5.0,15.64,64.08,1193,100.0,9
690000,68000,Petrol,Dealer,Automatic,First Owner,5.0,14.5,147.5,1797,177.5,7
64000,18000,Petrol,Dealer,Manual,First Owner,4.0,25.4,37.5,624,51.0,8
250000,120000,Diesel,Individual,Manual,First Owner,5.0,23.08,63.1,1461,160.0,7
65000,35000,Petrol,Individual,Manual,First Owner,5.0,18.9,67.1,998,90.0,15
550000,60000,Diesel,Individual,Manual,Second Owner,5.0,26.59,74.0,1248,190.0,4
140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,20.36,78.9,1197,111.7,10
300000,30000,Petrol,Individual,Manual,First Owner,5.0,25.17,53.3,799,72.0,4
225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,5.0,21.79,67.05,998,90.0,7
740000,38817,Diesel,Dealer,Manual,First Owner,5.0,27.39,74.0,1248,190.0,2
550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,5.0,18.2,88.7,1199,110.0,4
650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,22.0,81.8,1197,113.0,1
625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,5.0,16.78,88.73,1496,132.0,3
600000,69779,Petrol,Dealer,Automatic,First Owner,5.0,22.0,81.8,1197,113.0,2
450000,56290,Diesel,Dealer,Manual,First Owner,5.0,24.0,73.97,1186,190.24,3
779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,19.0,88.76,1199,110.0,1
645000,11000,Petrol,Dealer,Automatic,First Owner,5.0,14.3,103.5,1598,153.0,4
150000,106000,Petrol,Individual,Manual,Third Owner,5.0,20.36,78.9,1197,111.7,10
480000,90000,Diesel,Individual,Manual,First Owner,5.0,26.59,74.0,1248,190.0,5
535000,70000,Diesel,Individual,Manual,Third Owner,5.0,22.32,126.32,1582,259.8,6
300000,100000,Diesel,Individual,Manual,Second Owner,5.0,21.5,88.8,1248,200.0,8
240000,50000,Petrol,Individual,Manual,First Owner,5.0,22.74,47.3,796,69.0,4
1085000,1000,Petrol,Individual,Automatic,First Owner,5.0,18.0,117.6,1497,145.0,2
